code,location,start_date,end_date,no2,period
35-33,Klappeistraat,2021-02-28 12:18:00+01:00,2021-03-27 09:16:00+01:00,27,3
35-34,Klappeistraat,2021-02-28 12:18:00+01:00,2021-03-27 09:16:00+01:00,26,3
35-35,Sint-Bernardsesteenweg,2021-02-26 21:15:00+01:00,2021-03-27 21:03:00+01:00,37,3
35-36,Sint-Bernardsesteenweg,2021-02-26 21:15:00+01:00,2021-03-27 21:03:00+01:00,37,3
35-37,Abdijstraat,2021-02-26 21:20:00+01:00,2021-03-27 21:09:00+01:00,34,3
35-38,Abdijstraat,2021-02-26 21:20:00+01:00,2021-03-27 21:09:00+01:00,34,3
35-39,Nationalestraat Zuid,2021-02-26 13:30:00+01:00,2021-03-26 15:34:00+01:00,35,3
35-40,Nationalestraat Zuid,2021-02-26 13:30:00+01:00,2021-03-26 15:34:00+01:00,36,3
35-41,Nationalestraat Noord,2021-02-26 13:40:00+01:00,2021-03-26 15:40:00+01:00,32,3
35-42,Nationalestraat Noord,2021-02-26 13:40:00+01:00,2021-03-26 15:40:00+01:00,33,3
35-43,Cassiersstraat Oost,2021-02-27 11:50:00+01:00,2021-03-26 12:27:00+01:00,33,3
35-44,Cassiersstraat Oost,2021-02-27 11:50:00+01:00,2021-03-26 12:27:00+01:00,34,3
35-45,Cassiersstraat West,2021-02-27 11:56:00+01:00,2021-03-26 12:35:00+01:00,59,3
35-46,Cassiersstraat West,2021-02-27 11:56:00+01:00,2021-03-26 12:35:00+01:00,60,3
35-47,VMM Groenenborger,2021-02-26 13:41:00+01:00,2021-03-27 12:55:00+01:00,23,3
35-48,VMM Groenenborger,2021-02-26 13:41:00+01:00,2021-03-27 12:55:00+01:00,24,3
36-1,Deurnsebaan Noord,2021-03-29 08:55:00+02:00,2021-04-23 10:00:00+02:00,45,4
36-2,Deurnsebaan Noord,2021-03-29 08:56:00+02:00,2021-04-23 10:00:00+02:00,45,4
36-3,Deurnsebaan Zuid,2021-03-29 09:05:00+02:00,2021-04-23 10:00:00+02:00,48,4
36-4,Deurnsebaan Zuid,2021-03-29 09:06:00+02:00,2021-04-23 10:00:00+02:00,44,4
36-5,Van de Perre Zuid,2021-03-26 17:11:00+01:00,2021-04-23 16:51:00+02:00,32,4
36-6,Van de Perre Zuid,2021-03-26 17:07:00+01:00,2021-04-23 16:50:00+02:00,32,4
36-7,Van de Perre Noord,2021-03-26 17:18:00+01:00,2021-04-23 17:02:00+02:00,40,4
36-8,Van de Perre Noord,2021-03-26 17:14:00+01:00,2021-04-23 17:00:00+02:00,39,4
36-9,Turnhoutsebaan BO West,2021-03-28 12:50:00+02:00,2021-04-25 10:50:00+02:00,35,4
36-10,Turnhoutsebaan BO West,2021-03-28 12:50:00+02:00,2021-04-25 10:50:00+02:00,34,4
36-11,Turnhoutsebaan BO Oost,2021-03-28 12:42:00+02:00,2021-04-25 10:57:00+02:00,41,4
36-12,Turnhoutsebaan BO Oost,2021-03-28 12:42:00+02:00,2021-04-25 10:57:00+02:00,36,4
36-13,Turnhoutsebaan DE West,2021-03-27 11:37:00+01:00,2021-04-24 15:58:00+02:00,30,4
36-14,Turnhoutsebaan DE West,2021-03-27 11:37:00+01:00,2021-04-24 15:58:00+02:00,29,4
36-15,Turnhoutsebaan DE Oost,2021-03-27 11:41:00+01:00,2021-04-24 16:02:00+02:00,31,4
36-16,Turnhoutsebaan DE Oost,2021-03-27 11:41:00+01:00,2021-04-24 16:02:00+02:00,30,4
36-17,Provinciestraat Zuid,2021-03-26 16:02:00+01:00,2021-04-24 14:59:00+02:00,33,4
36-18,Provinciestraat Zuid,2021-03-26 16:02:00+01:00,2021-04-24 14:59:00+02:00,32,4
36-19,VMM Belgiëlei,2021-03-26 15:43:00+01:00,2021-04-24 14:33:00+02:00,29,4
36-20,VMM Belgiëlei,2021-03-26 15:43:00+01:00,2021-04-24 14:33:00+02:00,27,4
36-21,Provinciestraat Noord,2021-03-26 15:55:00+01:00,2021-04-24 14:51:00+02:00,31,4
36-22,Provinciestraat Noord,2021-03-26 15:55:00+01:00,2021-04-24 14:51:00+02:00,32,4
36-23,Pothoekstraat Zuid,2021-03-27 09:08:00+01:00,2021-04-24 08:52:00+02:00,36,4
36-24,Pothoekstraat Noord,2021-03-27 09:03:00+01:00,2021-04-24 08:49:00+02:00,42,4
36-25,Pothoekstraat Noord,2021-03-27 09:03:00+01:00,2021-04-24 08:49:00+02:00,43,4
36-26,Pothoekstraat Zuid,2021-03-27 09:08:00+01:00,2021-04-24 08:52:00+02:00,35,4
36-27,Borsbeekstraat Zuid,2021-03-27 08:43:00+01:00,2021-04-24 08:32:00+02:00,32,4
36-28,Borsbeekstraat Zuid,2021-03-27 08:43:00+01:00,2021-04-24 08:32:00+02:00,33,4
36-29,Borsbeekstraat Noord,2021-03-27 08:38:00+01:00,2021-04-24 08:35:00+02:00,35,4
36-30,Borsbeekstraat Noord,2021-03-27 08:38:00+01:00,2021-04-24 08:35:00+02:00,32,4
36-31,Klappeistraat,2021-03-27 09:16:00+01:00,2021-04-24 08:59:00+02:00,24,4
36-32,Klappeistraat,2021-03-27 09:16:00+01:00,2021-04-24 08:59:00+02:00,24,4
36-33,Gijselstraat,2021-03-27 08:46:00+01:00,2021-04-24 08:41:00+02:00,31,4
36-34,Gijselstraat,2021-03-27 08:46:00+01:00,2021-04-24 08:41:00+02:00,30,4
36-35,Sint-Bernardsesteenweg,2021-03-27 21:03:00+01:00,2021-04-24 21:11:00+02:00,35,4
36-36,Sint-Bernardsesteenweg,2021-03-27 21:03:00+01:00,2021-04-24 21:11:00+02:00,36,4
36-37,Abdijstraat,2021-03-27 21:09:00+01:00,2021-04-24 21:17:00+02:00,33,4
36-38,Abdijstraat,2021-03-27 21:09:00+01:00,2021-04-24 21:17:00+02:00,31,4
36-39,Nationalestraat Zuid,2021-03-26 15:34:00+01:00,2021-04-23 10:42:00+02:00,32,4
36-40,Nationalestraat Zuid,2021-03-26 15:34:00+01:00,2021-04-23 10:42:00+02:00,32,4
36-41,Nationalestraat Noord,2021-03-26 15:40:00+01:00,2021-04-23 10:49:00+02:00,29,4
36-42,Nationalestraat Noord,2021-03-26 15:40:00+01:00,2021-04-23 10:49:00+02:00,29,4
36-43,Cassiersstraat West,2021-03-26 12:32:00+01:00,2021-04-23 12:10:00+02:00,52,4
36-44,Cassiersstraat West,2021-03-26 12:32:00+01:00,2021-04-23 12:10:00+02:00,51,4
36-45,Cassiersstraat Oost,2021-03-26 12:25:00+01:00,2021-04-23 12:05:00+02:00,30,4
36-46,Cassiersstraat Oost,2021-03-26 12:25:00+01:00,2021-04-23 12:05:00+02:00,30,4
36-47,VMM Groenenborger,2021-03-27 12:55:00+01:00,2021-04-23 12:03:00+02:00,22,4
36-48,VMM Groenenborger,2021-03-27 12:55:00+01:00,2021-04-23 12:03:00+02:00,22,4
142-5,Van de Perre Zuid,2021-04-23 16:53:00+02:00,2021-05-21 17:40:00+02:00,30,5
142-6,Van de Perre Zuid,2021-04-23 16:54:00+02:00,2021-05-21 17:41:00+02:00,32,5
142-7,Van de Perre Noord,2021-04-23 17:01:00+02:00,2021-05-21 17:44:00+02:00,30,5
142-8,Van de Perre Noord,2021-04-23 17:03:00+02:00,2021-05-21 17:45:00+02:00,32,5
142-9,Turnhoutsebaan BO West,2021-04-25 10:50:00+02:00,2021-05-24 16:03:00+02:00,33,5
142-10,Turnhoutsebaan BO West,2021-04-25 10:50:00+02:00,2021-05-24 16:03:00+02:00,33,5
142-11,Turnhoutsebaan BO Oost,2021-04-25 10:57:00+02:00,2021-05-24 16:14:00+02:00,32,5
142-12,Turnhoutsebaan BO Oost,2021-04-25 10:57:00+02:00,2021-05-24 16:14:00+02:00,29,5
142-13,Turnhoutsebaan DE West,2021-04-24 15:58:00+02:00,2021-05-21 15:17:00+02:00,33,5
142-14,Turnhoutsebaan DE West,2021-04-24 15:58:00+02:00,2021-05-21 15:17:00+02:00,33,5
142-15,Turnhoutsebaan DE Oost,2021-04-24 16:02:00+02:00,2021-05-21 15:24:00+02:00,30,5
142-16,Turnhoutsebaan DE Oost,2021-04-24 16:02:00+02:00,2021-05-21 15:24:00+02:00,31,5
142-17,Provinciestraat Zuid,2021-04-24 14:59:00+02:00,2021-05-22 16:31:00+02:00,27,5
142-18,Provinciestraat Zuid,2021-04-24 14:59:00+02:00,2021-05-22 16:31:00+02:00,28,5
142-19,VMM Belgiëlei,2021-04-24 14:33:00+02:00,2021-05-22 16:13:00+02:00,25,5
142-20,VMM Belgiëlei,2021-04-24 14:33:00+02:00,2021-05-22 16:13:00+02:00,25,5
142-21,Provinciestraat Noord,2021-04-24 14:51:00+02:00,2021-05-22 16:25:00+02:00,31,5
142-22,Provinciestraat Noord,2021-04-24 14:51:00+02:00,2021-05-22 16:25:00+02:00,30,5
142-23,Pothoekstraat Zuid,2021-04-24 08:52:00+02:00,2021-05-21 18:53:00+02:00,30,5
142-24,Pothoekstraat Zuid,2021-04-24 08:52:00+02:00,2021-05-21 18:53:00+02:00,29,5
142-25,Pothoekstraat Noord,2021-04-24 08:49:00+02:00,2021-05-21 18:49:00+02:00,39,5
142-26,Pothoekstraat Noord,2021-04-24 08:49:00+02:00,2021-05-21 18:49:00+02:00,39,5
142-27,Borsbeekstraat Zuid,2021-04-24 08:32:00+02:00,2021-05-21 18:31:00+02:00,28,5
142-28,Borsbeekstraat Zuid,2021-04-24 08:32:00+02:00,2021-05-21 18:31:00+02:00,29,5
142-29,Borsbeekstraat Noord,2021-04-24 08:35:00+02:00,2021-05-21 18:35:00+02:00,30,5
142-30,Borsbeekstraat Noord,2021-04-24 08:35:00+02:00,2021-05-21 18:35:00+02:00,30,5
142-31,Klappeistraat,2021-04-24 08:59:00+02:00,2021-05-21 18:58:00+02:00,19,5
142-32,Klappeistraat,2021-04-24 08:59:00+02:00,2021-05-21 18:58:00+02:00,19,5
142-33,Gijselstraat,2021-04-24 08:41:00+02:00,2021-05-21 18:39:00+02:00,25,5
142-34,Gijselstraat,2021-04-24 08:41:00+02:00,2021-05-21 18:39:00+02:00,26,5
142-35,Sint-Bernardsesteenweg,2021-04-24 21:11:00+02:00,2021-05-21 21:22:00+02:00,33,5
142-36,Sint-Bernardsesteenweg,2021-04-24 21:11:00+02:00,2021-05-21 21:22:00+02:00,34,5
142-37,Abdijstraat,2021-04-24 21:17:00+02:00,2021-05-21 21:26:00+02:00,30,5
142-38,Abdijstraat,2021-04-24 21:17:00+02:00,2021-05-21 21:26:00+02:00,30,5
142-39,Nationalestraat Zuid,2021-04-23 10:42:00+02:00,2021-05-21 11:05:00+02:00,29,5
142-40,Nationalestraat Zuid,2021-04-23 10:42:00+02:00,2021-05-21 11:05:00+02:00,30,5
142-41,Nationalestraat Noord,2021-04-23 10:49:00+02:00,2021-05-21 11:13:00+02:00,26,5
142-42,Nationalestraat Noord,2021-04-23 10:49:00+02:00,2021-05-21 11:13:00+02:00,26,5
142-43,Cassiersstraat Oost,2021-04-23 12:05:00+02:00,2021-05-21 12:01:00+02:00,28,5
142-44,Cassiersstraat Oost,2021-04-23 12:05:00+02:00,2021-05-21 12:01:00+02:00,29,5
142-45,Cassiersstraat West,2021-04-23 12:10:00+02:00,2021-05-21 12:05:00+02:00,50,5
142-46,Cassiersstraat West,2021-04-23 12:10:00+02:00,2021-05-21 12:05:00+02:00,49,5
142-47,VMM Groenenborger,2021-04-23 12:03:00+02:00,2021-05-22 10:32:00+02:00,16,5
142-48,VMM Groenenborger,2021-04-23 12:03:00+02:00,2021-05-22 10:32:00+02:00,16,5
143-1,Deurnsebaan Noord,2021-04-23 10:00:00+02:00,2021-05-21 14:35:00+02:00,37,5
143-2,Deurnsebaan Noord,2021-04-23 10:00:00+02:00,2021-05-21 14:35:00+02:00,36,5
143-3,Deurnsebaan Zuid,2021-04-23 10:00:00+02:00,2021-05-21 14:42:00+02:00,38,5
143-4,Deurnsebaan Zuid,2021-04-23 10:00:00+02:00,2021-05-21 14:42:00+02:00,38,5
