Timestamp,Value,Quality Code
2021-01-03 00:15:00+00:00,1014.52,130
2021-01-03 00:30:00+00:00,1014.5,130
2021-01-03 00:45:00+00:00,1014.45,130
2021-01-03 01:00:00+00:00,1014.37,130
2021-01-03 01:15:00+00:00,1014.32,130
2021-01-03 01:30:00+00:00,1014.32,130
2021-01-03 01:45:00+00:00,1014.34,130
2021-01-03 02:00:00+00:00,1014.37,130
2021-01-03 02:15:00+00:00,1014.41,130
2021-01-03 02:30:00+00:00,1014.38,130
2021-01-03 02:45:00+00:00,1014.37,130
2021-01-03 03:00:00+00:00,1014.4,130
2021-01-03 03:15:00+00:00,1014.31,130
2021-01-03 03:30:00+00:00,1014.31,130
2021-01-03 03:45:00+00:00,1014.3,130
2021-01-03 04:00:00+00:00,1014.24,130
2021-01-03 04:15:00+00:00,1014.24,130
2021-01-03 04:30:00+00:00,1014.29,130
2021-01-03 04:45:00+00:00,1014.31,130
2021-01-03 05:00:00+00:00,1014.38,130
2021-01-03 05:15:00+00:00,1014.36,130
2021-01-03 05:30:00+00:00,1014.47,130
2021-01-03 05:45:00+00:00,1014.56,130
2021-01-03 06:00:00+00:00,1014.66,130
2021-01-03 06:15:00+00:00,1014.74,130
2021-01-03 06:30:00+00:00,1014.77,130
2021-01-03 06:45:00+00:00,1014.86,130
2021-01-03 07:00:00+00:00,1015.0,130
2021-01-03 07:15:00+00:00,1015.06,130
2021-01-03 07:30:00+00:00,1015.17,130
2021-01-03 07:45:00+00:00,1015.22,130
2021-01-03 08:00:00+00:00,1015.32,130
2021-01-03 08:15:00+00:00,1015.38,130
2021-01-03 08:30:00+00:00,1015.45,130
2021-01-03 08:45:00+00:00,1015.45,130
2021-01-03 09:00:00+00:00,1015.59,130
2021-01-03 09:15:00+00:00,1015.66,130
2021-01-03 09:30:00+00:00,1015.74,130
2021-01-03 09:45:00+00:00,1015.84,130
2021-01-03 10:00:00+00:00,1015.9,130
2021-01-03 10:15:00+00:00,1015.97,130
2021-01-03 10:30:00+00:00,1015.91,130
2021-01-03 10:45:00+00:00,1015.9,130
2021-01-03 11:00:00+00:00,1015.88,130
2021-01-03 11:15:00+00:00,1015.82,130
2021-01-03 11:30:00+00:00,1015.83,130
2021-01-03 11:45:00+00:00,1015.7,130
2021-01-03 12:00:00+00:00,1015.68,130
2021-01-03 12:15:00+00:00,1015.57,130
2021-01-03 12:30:00+00:00,1015.5,130
2021-01-03 12:45:00+00:00,1015.54,130
2021-01-03 13:00:00+00:00,1015.46,130
2021-01-03 13:15:00+00:00,1015.5,130
2021-01-03 13:30:00+00:00,1015.51,130
2021-01-03 13:45:00+00:00,1015.55,130
2021-01-03 14:00:00+00:00,1015.69,130
2021-01-03 14:15:00+00:00,1015.7,130
2021-01-03 14:30:00+00:00,1015.7,130
2021-01-03 14:45:00+00:00,1015.75,130
2021-01-03 15:00:00+00:00,1015.8,130
2021-01-03 15:15:00+00:00,1015.82,130
